 MASS_RT,2,5,12,15,19,21,23,25,27,28,30,32,33,34,35,36,39,40,43,44,46,47,48,49,50,53,54,56,57,60,62,64,65,68,70,71, C12A, C15B, C19B, C21B, C23A, C25B, C27A, C28A, C2A, C30B, C32B, C33A, C34B, C35B, C36A, C39A, C40B, C42A, C43A, C44B, C46B, C47A, C48A, C50B, C53A, C56B, C57A, C5A, C60A, C62B, C64B, C65A, C67B, C68A, C70A, C71B, C8A,,,,,
367.8844_0.64,62389,69969,84906,89187,66041,87600,92361,61891,61805,68039,63356,104963,55388,58180,78034,46860,67507,70568,95591,51238,58402,80477,147085,71886,81748,53481,92613,81412,57959,94573,87621,80515,57349,75285,70040,45843,49249,90600,100736,94390,68428,97035,79780,60581,55164,87896,38882,50853,77737,115969,85182,61414,95625,85320,48027,52640,189615,72849,105505,79803,55524,82159,59664,87321,72310,69632,85329,69540,71862,83137,91137,54587,90693,,,,,
368.1653_7.32,627941,303028,362787,997688,430467,387223,1734167,329551,1059889,4247869,266336,488055,56451,390293,582350,254194,875999,589524,507873,27036,641819,384923,615044,562977,1134472,1385559,1449968,901340,113674,1452481,1385596,763520,297520,1496239,262261,457767,161392,355378,974259,310193,634571,493996,494128,814981,615725,128710,680113,962388,557733,327621,541495,477957,843391,449636,242585,646949,1674241,266396,1058511,959539,419618,456570,471673,916318,2373000,205622,835576,2045511,158391,619371,1158578,908640,1244813,,,,,
370.1808_4.83,25370,15544,22547,57912,31339,46646,66764,14114,53125,204648,11371,58585,647,11134,21989,10196,50866,31296,28674,37071,29366,16425,54518,25781,65013,42963,46037,52674,1483,98498,93027,46029,13663,61077,11670,28127,6709,19726,39217,16102,35847,38778,18440,48783,32723,2567,46890,49323,29061,17920,27329,28216,70285,23894,15114,41422,97356,14296,67363,48563,38836,27723,28676,46194,121531,13198,32011,105329,10949,34603,59688,37057,66940,,,,,
370.1809_10.89,47170,24352,32134,109944,36365,36351,48933,24189,27239,84999,13786,75778,3590,13705,38821,7411,89406,43344,54473,994,24166,26842,33785,25030,46624,61711,23503,25053,6229,57807,80980,23543,17310,69133,37056,19505,9609,20393,70017,67146,39170,36737,26677,49283,45827,8592,27421,32102,15671,11254,20419,51961,96255,43035,21516,19426,57830,5899,24335,48449,24736,24287,55997,45718,137560,36541,15822,47842,6631,51907,33328,34634,55156,,,,,
370.1811_8.02,76324,67919,89212,250989,80708,116571,212891,164610,87446,226682,49471,227343,7524,58542,92270,24738,154301,140525,81585,11201,79304,50870,264459,110899,127685,210876,102599,122730,14904,262823,210884,52542,59749,341024,166066,140933,55569,64727,260618,109846,92636,161133,125857,253276,95955,30892,93190,202858,36807,70353,89316,212464,175812,138187,21006,93030,547824,38636,63646,224319,113133,153811,154110,149637,310505,143206,68465,327568,12275,154620,138679,166501,158893,,,,,
370.1811_8.77,204732,210267,253070,765194,255925,173747,543487,367074,185446,349573,154560,651780,25339,173005,314840,88740,570018,349584,329294,30845,142340,166984,306800,409237,216643,639320,199945,329320,20494,680468,440290,121856,108639,761373,371875,289361,196491,78747,933766,281456,392244,295062,282369,559208,245550,75447,156961,595457,105291,268003,145520,385099,512201,430633,66017,268755,531109,61508,132704,217067,214865,603826,384879,482850,730745,376614,197777,795994,42990,224239,345706,248584,482588,,,,,
372.228_27.65,19709,29505,43846,33416,18918,23911,61919,22528,18544,27819,25231,35643,33950,18751,34970,44245,41007,24158,24597,20248,23097,28082,33745,19346,24439,22572,27538,25612,25009,29900,46777,39131,27136,16088,28274,18440,34570,33586,31744,34869,37938,41937,27592,30395,26715,37551,20262,37416,20493,42085,38556,18359,28177,48408,24841,26860,59928,39588,30043,18023,21782,40451,29309,34401,35987,22215,36874,38194,20803,26464,36457,33337,19180,,,,,
377.2327_12.52,38106,42440,43278,66979,39110,56731,48826,45154,26355,54822,49976,63615,39412,45353,38216,33582,22556,25654,50654,42217,62767,39462,57969,64882,39450,57623,52282,59739,50464,66283,40482,61245,41129,56615,52295,51896,79236,49415,65309,57085,27208,54159,44198,47873,31379,44234,50110,32026,22866,47044,54413,45720,42741,29719,18270,25974,51553,19477,53719,25802,45522,61813,53830,76458,36540,46654,55966,55548,41440,28251,95737,59441,63980,,,,,
379.2481_14.96,118932,136845,112913,235987,107116,216235,146448,152482,81938,159886,149785,174440,133703,166998,140140,120246,73933,65569,161309,107844,173342,110514,218342,155296,158148,216168,154556,156713,185800,244888,148358,177217,162207,239225,178781,167266,213330,156844,200766,175956,67765,182989,158135,156935,173033,105934,178882,107639,61384,140683,188928,157114,152661,98270,61662,70692,181101,66396,168944,111369,144452,262027,151264,207707,106877,261727,206342,182743,153842,112512,310875,191307,181150,,,,,
381.2631_15.84,20225,17506,17124,33260,16163,30467,23600,25276,11368,24720,23945,27167,20522,25621,28168,21108,14646,10124,22211,16576,24124,18006,34783,22887,23561,30549,22317,25221,30419,43406,30493,37161,34281,47679,31353,22868,42819,26262,28966,30097,11820,34398,25958,21207,21102,18496,26194,18345,12702,27821,33002,20574,24939,15165,9747,9684,30710,10877,25142,17661,18122,57946,23912,32677,15735,62299,33225,32321,30471,23066,56433,29097,25650,,,,,
382.0406_0.82,55422,85115,67479,60830,50151,86314,85614,66783,49568,70240,54498,108878,11539,39010,55295,15519,66561,83138,79783,26547,34996,74404,107488,58936,92357,70345,40732,80149,49552,117236,122927,77443,41484,55132,62809,34500,37704,90819,69844,103181,57400,106272,65375,59435,31941,49740,45912,27198,42800,74147,79780,43401,61016,60914,62166,27467,97111,53309,90184,59866,90837,60199,73670,61064,68767,75324,76705,52252,51275,84666,72083,50191,45240,,,,,
382.1819_31.05,30411,15327,46472,27594,14149,17577,26756,16765,10702,20346,23595,17901,37575,15830,45075,48376,45795,24197,12428,16414,18675,22193,35937,17278,27487,21050,41982,29884,20748,51493,38269,30148,18755,13641,16636,20300,48778,35165,29797,27547,31380,36583,30152,16173,32905,34768,15430,32486,10989,66586,34557,42729,44059,42234,27900,9048,100593,69787,13052,4757,21044,40695,24028,52267,18757,21879,48047,38377,17671,18827,31707,15946,37359,,,,,
383.7287_0.69,16390,17498,24915,11920,23640,16379,23888,45665,16706,16123,21315,19009,49285,30234,23125,63326,29298,8810,21584,46044,82147,16586,12757,22095,35727,42898,17017,19417,26718,13621,21747,24243,31648,21329,17069,38408,88855,23064,14592,22512,24075,21648,61563,37215,72337,21099,53861,49022,20353,11680,29281,32927,19302,17294,17661,26864,16928,28354,21875,13150,34276,21310,9388,18158,41700,28526,19422,11808,14412,17755,10794,17581,11660,,,,,
384.1601_3.13,18058,17968,14691,48489,12666,1282,71157,21269,35972,116443,22612,26328,1592,15311,12016,6403,53456,46493,14592,29277,48439,18664,26970,33338,90531,76046,31665,26464,35119,64284,51531,16448,13439,47377,18521,22094,7707,49729,58462,27291,14432,23886,27573,34162,11840,6388,22339,31869,35434,14452,51753,16093,32649,26266,4438,34161,75107,17462,42393,48394,23873,23059,20636,43665,72348,2926,34913,62633,1256,25199,55145,26465,32142,,,,,
385.7259_0.69,32234,40913,58138,24951,47786,38716,49898,88374,37373,31352,53400,43377,90659,68758,46405,109234,55117,15800,50260,90970,138252,38389,28024,49738,83282,88710,43292,42934,57649,34690,45533,52691,58711,53554,47559,71809,158323,59708,36149,47089,56069,61248,142253,85990,126122,45709,94055,110715,44401,28706,71426,59475,44039,35922,37991,52184,48696,58182,60448,30665,67911,51246,18211,40478,74808,57892,36738,25369,33093,42528,23205,36730,28965,,,,,
385.9428_37.13,187687,119672,134091,154242,142767,114594,180655,143650,123143,114203,97579,162754,159607,149435,149110,166168,138177,155668,164897,103316,161972,153705,149960,133197,151066,176319,157771,156472,121765,150350,154392,140459,101815,154862,126791,113690,160211,160936,167537,132710,145139,125942,128265,115462,113986,142018,131394,175913,147476,158039,121935,123950,133650,134412,146599,105496,138361,156429,121539,148099,115083,144920,138483,157745,146569,124574,138203,129901,141262,145312,157151,107569,134371,,,,,
386.1759_1.23,8232,9428,12253,37927,10311,16925,34884,21802,20662,73853,15277,17681,1507,8879,9771,6096,33639,27223,9074,244,24999,9453,46468,20533,62046,49524,13003,13636,24862,55189,40932,12830,6221,33003,16562,22817,7954,35631,47245,22331,15271,20778,18816,23182,6093,3328,14592,22006,18259,12638,32518,26865,22353,22687,1410,17614,75749,15609,23873,49999,23562,12581,19369,19899,42132,5502,20813,65785,1566,23076,39628,18753,15219,,,,,
392.2146_30.55,99436,77117,138755,112169,83508,104691,111233,84478,72772,89597,93557,81148,131050,84431,120819,130172,126886,89886,72136,69357,92200,81176,110753,75947,100771,89773,120102,90270,78598,130832,148172,117031,92602,71286,77133,78802,128387,112927,101511,105565,105716,129540,106195,89065,103674,98105,79143,111498,75750,150209,121170,97295,117135,131997,106657,71854,163938,160014,86721,67286,111644,126079,117601,124617,97014,109215,136190,140087,74358,100057,114942,86099,97177,,,,,
392.29_11.05,2264,62136,11635,9003,6834,746,8224,5176,15102,22897,4162,50585,5969,4810,22092,108250,40539,71043,12674,7241,12508,21328,230,21943,12817,4662,6619,24450,243,41252,5628,22469,828,27467,10436,8326,5181,15955,29113,26315,27821,13901,11345,19514,241,89671,282,21420,558,19202,9194,4793,8140,210,18528,1273,8851,2166,54489,5753,16247,242,3920,12952,1033,8840,5476,32875,32294,3201,73705,4719,502,,,,,
392.291_10.22,727,77662,22287,7551,5752,3119,18904,2094,3265,14980,15900,22633,2735,2547,39715,27577,19034,9404,10255,4249,6135,19113,5864,15533,9666,570,17237,32887,1321,17165,8986,21846,1755,31284,8537,4721,1176,2615,10284,4113,36054,21399,17243,32674,5598,10712,3303,4504,303,23486,30780,5289,38186,3109,229,551,31018,563,114419,5199,18261,5183,10356,17066,580,12896,3806,16241,56415,5826,134354,7705,246,,,,,
392.2912_12.44,13977,169916,198458,19779,28073,9903,28425,17445,6804,27382,11457,66092,34630,24529,54376,12506,47990,8283,44594,22683,27612,14023,5103,22139,30716,31335,35198,70590,10822,24665,26573,22816,43166,803,12755,19600,3748,7775,3547,23967,57921,44380,19512,42327,4796,26414,15408,8291,4073,43377,49683,7119,64601,27915,501,8163,89238,21910,70334,52861,99825,5815,104226,38556,13012,38236,14246,136587,113923,34247,69773,27690,7855,,,,,
392.2917_14.77,428857,349028,260423,40848,105156,4357,41497,54943,117822,266834,46745,573174,547445,22562,36359,484936,269868,661307,212199,57625,121318,136366,2613,165006,179690,39799,65177,317054,15556,612696,131059,63215,2321,6583,94786,62821,211243,480139,268363,438836,43869,120275,55510,114219,9761,431711,26089,161182,40158,181114,84578,78210,37469,67108,5062,44652,79139,12404,269373,81744,67164,7001,45563,3867,6029,164757,108811,206901,102347,124318,170619,194286,21994,,,,,
392.2917_15.34,166265,457494,191666,62142,104795,51277,54711,68696,47537,101484,39345,581249,27017,82152,112308,99257,224688,86873,132021,49021,177888,59747,7233,19633,59025,170954,63018,170869,37998,150564,67995,49053,60652,3718,30020,55439,67731,27367,22056,106298,160932,92603,27299,83937,1137,113450,5197,67993,38194,101642,153373,48563,54063,43230,446,74212,239430,76799,102695,153410,195222,6170,199012,37519,41003,50882,62158,410751,969,92820,3814,121444,6072,,,,,
393.0659_1.04,7427,18840,17204,8919,12007,2283,8291,3444,4740,8230,3265,18965,5341,2091,1062,1123,5977,8678,6840,3028,2896,4559,2599,8014,1388,4355,5619,9324,1522,32330,19929,3636,7142,8443,7785,3733,881,13080,16574,22915,1877,1405,5979,2652,3126,9444,1763,8363,7594,19889,2306,6269,879,9706,784,5722,1467,9047,2464,5177,1485,3590,25611,19049,6671,979,29329,6350,5721,1761,733,4782,7388,,,,,
396.1967_11.2,24773,17680,10512,45249,23195,27862,57921,10967,35682,188001,28687,20564,12052,33851,28275,10020,63611,25569,20321,7606,65876,29202,16658,27987,64424,73329,135625,20464,20441,26239,35429,35528,21591,68821,19888,17830,12095,17542,96122,28957,38764,20246,28617,50003,30786,22670,40633,39100,30090,14441,29091,60715,39274,26067,20794,33760,45117,11050,48126,70442,10056,26839,23766,40481,55533,16402,18683,74853,7698,28558,24011,32157,21315,,,,,
396.228_27.06,31687,82900,71414,65552,40223,52066,245555,50429,60129,52755,53583,73373,100315,42783,51527,77529,117863,139554,31809,36152,43000,70837,58959,39785,52703,40487,70682,59922,55107,50656,67764,103975,63068,44617,39582,36833,49194,55361,94190,109389,52947,113270,92527,39898,78474,68172,75634,87353,22491,93792,74674,61263,139120,84134,45097,35062,67282,72879,38329,42740,64163,55453,117586,61449,53266,60858,76530,95455,35262,86951,43682,53179,62641,,,,,
398.2137_8.36,69842,49819,41041,179895,59151,61223,148763,41774,156187,567353,57895,90050,46184,59959,123968,46511,178946,100639,131357,15618,171657,112107,84265,62631,209897,285622,389888,121824,80082,160325,160458,90291,104894,245839,66906,81162,32086,85502,295506,106409,125998,59496,118144,153364,150990,54685,108993,207881,81017,66298,84297,244587,140939,122563,77217,63983,181044,32669,140557,158249,65162,78268,118181,134907,279766,34731,89127,170518,42544,100579,137361,127272,133378,,,,,
398.3696_34.43,75033,14437,56616,10441,28371,69723,30631,793,16442,54789,50309,89466,49125,38116,9828,113110,28604,743,70821,28755,37891,88700,49420,25838,47011,8790,57573,22010,53459,88003,66297,23973,58070,8517,60431,38145,21995,51257,54134,26505,35311,29849,96656,10963,41130,15116,16719,74666,62353,90861,13493,93066,99128,17653,79634,6524,124585,18004,63626,14025,31515,53616,594,62145,18536,29507,14263,28758,16228,32146,40561,24580,49334,,,,,
403.8919_37.12,295437,172254,231739,237980,266428,150130,333362,202040,198796,185738,160598,246921,292862,232485,277844,293825,229054,314820,270698,166494,245776,325980,248001,194522,208783,288672,292122,314490,213643,266146,259493,229298,161380,239152,178575,181460,262146,251351,327332,194527,229088,205293,181188,214084,203280,160533,280982,320852,213073,319507,177859,179003,230791,248239,270015,148787,210605,278849,246050,296809,230682,172061,196736,318798,188902,211548,272461,165803,268141,236719,305312,151270,241150,,,,,
404.0196_0.8,21022,34407,31665,24607,26950,36004,38923,34410,20550,28694,20872,45265,13563,16162,25291,7433,31535,34008,31584,13308,15053,38235,46619,25070,40248,33600,21436,34880,21923,56136,58148,34288,18244,24217,28890,15133,16319,38344,34469,40904,27450,44723,28546,24062,14349,23393,24151,12138,19819,30602,32822,16958,27689,31020,28917,11863,39433,23821,42085,26314,41551,28848,28253,29080,33491,30097,35581,24178,26105,36248,31822,22297,22393,,,,,
408.2136_3.56,35102,35363,21357,56410,31166,55261,22553,23911,12240,58874,34693,29879,14642,44404,28302,31678,43573,19676,22881,57801,58315,39797,34703,40348,39178,44994,49007,22203,27253,42515,35867,72581,34404,22844,30862,25092,26605,25614,58051,31123,42523,30121,45745,37107,20931,70254,48779,8280,23414,42774,33432,21200,52083,51979,16762,35208,40114,34766,20998,43776,18230,31999,56872,38513,33971,16726,67076,59333,30610,30115,39647,25657,36608,,,,,
408.2839_10.55,64798,89494,100927,32878,67250,7378,16922,45940,141967,414832,31189,276758,243275,5603,1770,137882,133285,573633,318452,89655,105830,217654,1722,76463,46684,46651,112188,183972,10004,610896,45455,45200,130858,173191,100640,56819,241646,311362,579368,328144,29374,38500,37592,160365,1594,1279192,6158,193421,105473,115256,122039,18998,998,50083,536,67191,12738,1484,165988,2874,25972,4396,11415,178351,162908,78947,124455,1737,9314,57047,18153,21615,16193,,,,,
409.8675_0.73,520581,594542,560942,719566,434488,849129,714354,367378,358093,650402,564524,577486,175942,321628,639616,117108,638590,707037,506427,302933,152043,668551,801826,963823,461665,405046,815233,801049,397679,827768,874979,1102578,328074,641022,579246,311650,121885,581084,1025359,696348,540219,805988,362767,391730,162000,824610,206308,209420,838463,814821,756566,435252,867911,801997,301986,279763,761001,586609,628256,748421,355445,791499,578614,797753,615302,438740,782532,651530,866424,625938,915942,416073,903888,,,,,
412.3538_31.21,55281,15978,51824,16533,16796,55244,30114,3518,10194,49532,51998,81202,24743,23732,14077,83260,22796,12163,32837,29916,39237,80812,53282,34986,20333,13079,44915,34949,34748,49692,58141,25320,28032,11953,52542,33527,17356,29113,42675,25382,47907,24492,97229,11129,21285,17861,12901,51675,90263,87384,21008,71157,46927,22726,51062,5933,98933,14911,37444,11228,22708,39140,4706,59258,20606,12906,20126,23631,20436,19938,47804,21604,32084,,,,,
412.3895_35.97,97066,23190,54836,13567,24616,68999,33858,5433,23035,67509,57694,98550,84403,48271,13170,128477,28809,13234,54231,33509,41677,94545,51590,31976,42644,11347,56729,31165,74562,87951,68013,26520,69583,7877,58797,40960,21886,52585,73124,27335,50836,34884,170655,36477,43722,16052,18209,86821,89725,154895,14521,116679,100372,24507,79987,7967,112540,19990,69897,14689,35388,57449,7214,81883,22198,24403,17854,30713,18453,34551,47515,24836,60697,,,,,
414.2069_5.08,65768,37072,31271,148770,47923,33172,84104,34818,96679,223527,27683,94434,15273,24190,80704,36193,117426,83684,90519,5589,117236,57127,87876,46773,109092,144246,200425,96641,29944,114042,146369,52626,48397,135890,56170,44769,27864,37604,182042,91374,59671,52370,82205,92995,79733,49436,106145,112505,30261,51700,41659,94551,137294,86032,54328,41784,141913,28981,131091,123704,71769,29201,69910,80737,165365,27955,37555,113302,18672,62256,114354,74866,69710,,,,,
416.2153_28.16,52416,61167,86622,75836,48548,43880,117219,93715,40146,44434,61771,47551,107445,42287,80908,103395,74144,74886,57512,40103,67637,64368,47060,87064,48539,66799,67763,87920,45698,88602,118615,101686,48401,60479,34859,75723,105675,87932,58386,63942,84523,73644,62246,63421,78449,67251,44419,78446,35978,108425,105444,72909,51614,132515,80690,42178,98489,94214,24447,33233,129873,90908,98753,107855,97570,53127,105050,124024,68074,41657,123895,45083,92512,,,,,
418.2297_31.05,177428,118224,279984,206426,119641,127528,182711,147564,87720,154887,213006,126009,246717,123742,244099,275642,250603,155271,109723,130920,149492,156489,232051,158390,191379,140009,254022,181216,157683,281741,245937,210889,168608,113927,142545,161362,256032,222347,180473,181246,208075,194054,199904,129043,189031,224135,129538,198085,93834,345207,204719,230240,257121,238958,194511,107182,435633,367975,111920,62222,137788,273085,181736,312227,151158,156609,271972,259727,142911,152316,179358,142943,206789,,,,,
420.2457_34.32,95696,64711,102112,101890,72406,80424,119547,62954,70928,75142,72007,81014,116338,80146,88704,101930,103466,80994,72818,54607,79906,79966,87955,70423,85538,74109,102817,78854,66553,95160,129754,99729,81204,71764,78313,64407,104008,105169,96319,93668,84865,101217,109229,76921,106710,67800,69979,101698,70763,127342,115154,69262,86277,101598,99535,61765,114584,120798,73279,65860,105110,84272,93194,113659,61353,87988,119224,132602,67541,88352,89419,77174,84699,,,,,
426.3695_33.35,25763,13203,37971,13939,14249,49321,26318,3582,16987,45278,27202,71917,31366,23691,13670,45208,26059,17595,29273,12955,31184,50845,31921,43332,16423,11755,27711,32345,29765,38395,57827,36138,32367,8313,56752,24184,18827,32767,49392,23368,43130,21088,108493,13528,19867,17733,13407,44055,65840,56961,15194,37601,29859,28460,34968,4782,57249,10771,25158,17401,23153,42940,7907,57397,31157,14081,16724,40209,16569,15143,38261,14145,38285,,,,,
426.3699_32.65,143359,84150,156333,63402,70034,185030,119769,18918,70506,205598,162504,327869,124572,108891,52959,226148,87453,64881,113329,82653,155975,256683,128263,116681,82381,56960,113805,113595,152943,149548,199573,90649,113213,46762,185107,146622,67231,126310,200889,98994,139208,95931,504080,69799,87498,60937,49039,192220,212445,237513,71226,230958,125902,117716,146723,30606,237988,58859,113628,72007,91850,122892,20392,185324,92180,51184,71404,110893,60581,58454,183819,74343,138005,,,,,
430.3079_18.01,72410,55411,62742,52474,38025,74018,51793,42044,32571,81185,63648,63095,33954,46649,54201,48538,70789,72696,41646,40517,55589,39724,51398,54626,41334,33208,58024,43330,42773,54357,62300,51294,23845,41356,40477,33828,42527,44211,40670,53016,39785,66437,47316,58256,36182,79621,35404,45523,38082,55313,53059,41645,73563,78393,18314,41738,81565,51618,102407,36799,42018,38202,42164,51104,52122,48854,43358,70750,35318,52725,83305,48954,50853,,,,,
430.8667_19.84,298953,340074,408719,351835,360428,374604,401838,325253,439070,393713,350759,284735,437363,414369,270291,375858,229573,353742,286822,339620,383706,298629,316565,213728,356963,357671,353189,299435,355452,350575,417799,286878,414212,328575,402004,383335,336420,377472,343229,358279,401524,330829,295092,478946,335053,311915,269874,398644,273334,383122,334304,321428,301177,344341,268950,359735,286111,403213,349352,292354,349796,281912,443252,303110,353128,368633,386013,424634,241195,377717,335922,400750,355182,,,,,
431.9342_0.57,56799,42222,32855,50592,34424,47164,36216,26393,36965,62014,40508,62755,24448,33649,41988,25837,37297,55526,46093,37339,37382,43441,46521,44677,42907,42370,43729,45906,47509,52007,53275,50716,36054,38111,46359,40317,29315,41429,51787,42438,31933,42049,43031,41151,25647,47095,34696,32927,44041,50049,41260,33583,50096,51447,26997,32414,46376,40977,38501,52009,39965,53552,51581,48736,38419,37897,43203,42707,46518,44952,63366,47391,52669,,,,,
436.1529_7.33,11889,5747,7096,23224,10022,6895,37254,6853,22123,90543,6100,7556,11010,9368,14263,4526,18810,13783,5730,18024,13682,9064,12705,13119,23314,28181,30301,20939,17425,34678,32145,18989,6408,30653,5428,8666,489,7741,21489,5782,14978,9180,11534,17460,12622,6211,11644,22974,10729,5982,11197,8190,17940,8677,5901,14378,38090,2285,23917,23561,9469,7913,8492,23025,55159,1321,19554,46364,823,12819,27038,19611,27018,,,,,
436.3549_34.61,9775,12266,6206,18917,13301,3394,52980,6160,17710,10173,8925,26960,15737,6533,3896,7668,3905,61865,41981,199,47788,33945,9218,15119,14799,14066,8731,64943,15637,9999,64426,11192,3659,25978,8980,11612,11952,12146,9311,6507,4836,13735,5537,14371,17001,3410,7564,11441,9240,14732,16692,30875,11688,15784,9795,4495,15888,8576,15618,9566,64414,4579,23428,3366,22804,10639,14208,23877,16823,14410,60489,12456,8699,,,,,
437.29_20.24,212233,270087,253805,245092,199574,239302,353781,261322,134509,324012,239332,288930,217698,261005,190278,232319,186349,227483,310971,474944,264837,265561,209425,225927,312007,327680,141046,313861,253934,357071,373983,307883,275189,221218,261820,170954,268965,323310,437999,247627,315642,274255,402581,223152,223427,367412,238757,200790,94750,309872,369367,136499,272662,322684,118029,183323,253227,137366,271717,149257,201064,488898,380384,232088,297946,261558,321944,248024,254983,262168,327615,295581,178111,,,,,
440.8952_37.39,62972,68741,80361,70664,72277,68999,78905,76265,71867,68775,70346,74048,81580,75769,74716,81353,73628,72730,65341,70322,73031,69560,72804,66926,70359,71908,73599,73271,81236,66689,67783,68164,71424,78130,67388,71285,71909,73967,70722,65501,76125,59291,61396,79807,64932,74240,76026,90952,68514,79369,58560,66538,64887,69912,81498,71978,60036,75356,70549,69437,72925,73340,73033,74233,69115,67633,64866,69243,69491,71751,64970,69559,64892,,,,,
442.3639_25.76,60549,10232,35252,11065,12139,37409,18405,1298,11514,27837,41392,71014,15075,19657,5423,63638,17514,5256,20319,15259,15422,23875,18980,30385,15223,5374,24486,12769,31229,46423,30641,14702,23067,7057,38572,25232,3477,16342,24065,14094,14868,13682,46671,7742,14487,8173,9377,29328,31186,61103,13171,62119,29750,13116,37621,2221,59224,8931,24252,5286,13717,20883,503,34041,11565,7365,7274,20100,10928,10079,26409,19901,18105,,,,,
442.4005_33.23,48794,11723,42127,6012,20848,76825,19100,270,17408,46800,35456,52055,51780,31994,8636,62922,20981,8238,53779,22929,22115,46495,34948,30253,37149,6771,34476,23726,42606,84713,50356,29485,54939,5393,55006,26145,9281,37019,45901,17054,30703,16326,83350,6981,37615,11612,12592,49183,52269,81838,20964,40630,57272,13690,44615,2498,71857,16460,53787,8196,23199,50104,3637,63820,17628,17924,9742,34901,16620,20672,29705,15823,44024,,,,,
445.1517_27.06,17631,23635,60118,39182,17279,31099,25814,22332,8783,28554,33905,17179,34098,13247,43207,48523,46206,14300,9773,14012,13088,18140,43898,22423,26856,19862,26924,26765,23217,38829,53879,47509,29400,11872,9525,28731,62572,26747,27088,25882,30378,60443,18000,22153,17260,41017,13216,21752,12863,66399,33565,38324,38716,42286,30412,17722,98846,100131,17330,8894,17746,56607,35604,77635,28744,43646,59951,38518,19351,31311,35377,22571,41160,,,,,
446.0653_1.01,5725,4855,12157,6826,3576,5757,3892,2204,12717,7270,10594,6165,24353,3281,4205,3841,4821,1829,4727,4962,8780,2968,12658,7552,5524,6407,2723,6790,11190,5962,9967,7102,3938,2730,7172,9053,1993,5232,9184,4041,3276,8586,4490,3667,5403,4575,5305,13289,4336,5276,6868,10277,2573,5118,13405,3168,4331,1586,13713,4953,3798,4325,5809,20589,4937,11498,13760,4616,25102,2218,39733,8422,5065,,,,,
446.3387_30.48,130049,176504,120872,141784,180854,64693,441244,175882,164657,131943,109264,502848,179106,117203,85123,126707,47313,176138,403617,41120,317025,113583,107919,224695,161150,274870,137123,332029,47778,163343,347433,198876,99447,246149,78628,151309,91086,253013,93825,77110,60956,135764,172767,150756,165521,51515,100642,54253,69677,200257,123725,115664,48563,151898,120627,52069,126074,30133,34165,191149,202510,71192,57287,81022,181323,83113,157368,121051,40276,42856,348839,66263,277675,,,,,
446.339_29.9,225736,303624,121708,163380,237004,161024,494919,251012,271662,221548,198239,804246,204572,187405,150596,198612,107384,252816,538526,63240,444204,168262,174532,456379,240369,349855,143528,452321,108597,238721,511299,280644,145947,442680,162553,299937,153688,548767,192757,120230,135491,295884,423519,343767,275535,157146,335983,114061,171638,307877,226772,319050,89785,425807,207514,105335,259825,78313,103476,521514,477668,157457,125509,177011,480199,170686,330274,280883,101772,118328,1004844,176223,371686,,,,,
447.1688_30.53,54536,44004,64427,54434,45331,53348,62180,47071,39631,48162,49800,50445,66958,46899,60826,67098,61886,44133,45879,37886,51539,44417,55902,38749,52345,48917,60991,51954,42214,63200,69057,56758,46814,43502,40890,45660,70080,57616,57548,57226,50801,66900,57645,51263,57020,51733,40890,58537,40770,72779,63041,51576,57361,64926,55189,38063,77379,73156,43728,36151,57831,58232,55162,65236,51219,55041,64149,56970,41729,54455,59691,44694,54042,,,,,
449.3126_7.69,10014,16757,4369,8971,3094,58283,1048,16563,22791,15895,29148,22945,2520,901,44870,45463,89272,13424,2541,14940,9750,9078,6438,23529,17948,10223,3873,8436,9230,28214,4096,21714,1411,7253,20307,16494,9258,11402,20367,75769,13635,4778,24404,22782,10125,23153,4516,2238,1019,85141,7306,11987,818,2136,7231,706,14325,479,68529,14586,6613,8636,1972,4596,4541,5143,18948,28605,19177,3187,275083,7906,28196,,,,,
449.313_11.08,344504,48433,65973,153100,22104,431031,14672,122576,107759,103822,138619,98706,49278,45142,160769,92334,459613,72285,35987,114231,66904,46122,88568,161577,143486,112511,38482,86018,61137,219069,40660,45297,18480,167005,214882,72689,99660,149027,126362,563118,60866,55481,175384,126209,211716,129016,162046,18328,85266,400174,97884,90067,16402,126195,47494,50499,743211,36358,179145,132312,102527,105324,58744,28939,91910,74123,144940,328077,54263,45336,338342,88884,461768,,,,,
449.3132_11.74,272086,65863,47211,39811,16587,359408,7978,75113,32839,36225,42130,141352,2986,26374,120374,22262,301880,9755,23620,39060,56837,14509,11692,6393,23918,191835,14803,29225,29447,65823,19329,11302,47453,13444,29918,37821,74769,9735,6563,153703,58819,26492,23386,52382,18703,25782,13582,5670,31866,131072,89286,29501,5992,34545,37232,29543,385510,24881,46944,187007,99844,11565,54241,33543,62357,13887,48429,177034,90697,30884,4368,73667,39054,,,,,
450.2616_16.24,69517,61244,52069,463106,45111,142509,126285,220911,60719,176180,36234,94330,12272,22808,50703,36833,335674,108505,98156,7986,104456,46478,132137,47242,106928,144070,124367,51035,72509,139252,291643,74096,20166,127179,68753,93193,52046,70128,345014,151084,62543,116574,138368,168351,129182,15110,159238,164293,60193,42017,79522,98108,130807,76099,65523,31231,248380,37950,164451,86135,109206,55005,89507,67100,146893,69223,45726,96038,23618,72490,154375,132543,48677,,,,,
