 MASS_RT,2,5,12,15,19,21,23,25,27,28,30,32,33,34,35,36,39,40,43,44,46,47,48,49,50,53,54,56,57,60,62,64,65,68,70,71, C12A, C15B, C19B, C21B, C23A, C25B, C27A, C28A, C2A, C30B, C32B, C33A, C34B, C35B, C36A, C39A, C40B, C42A, C43A, C44B, C46B, C47A, C48A, C50B, C53A, C56B, C57A, C5A, C60A, C62B, C64B, C65A, C67B, C68A, C70A, C71B, C8A,,,,,
148.9459_0.9,121953,118421,134438,134569,135987,132250,137338,104517,151810,143447,121255,131130,89853,114500,140071,64215,121911,148887,134264,101816,70120,152419,132168,120179,120549,104381,143605,144534,122672,143669,142371,122812,123870,136439,138744,106779,61013,127132,141638,126272,136565,137013,98362,112189,71697,122145,82570,96656,153487,140134,123951,108048,134261,142691,152860,125725,149935,137857,134028,155308,121190,129004,152032,137267,117161,130177,145021,151393,144881,147530,128075,120069,141359,,,,,
152.1199_7.1,47652,50309,27405,26877,23626,75173,62631,34354,40514,75766,57531,75195,23745,24137,16732,19712,18840,60242,42359,50302,28010,21986,57731,8480,81452,62462,18236,34224,32375,29417,37928,31889,41183,51464,70884,18193,46011,45318,81118,16135,26293,23183,87654,7770,63361,21402,67734,22895,9160,33215,41552,12433,33743,22211,23024,8750,36000,27980,13337,12688,38609,17462,16176,23219,51478,16120,32973,21947,38225,44472,13671,36142,56654,,,,,
155.0697_0.58,38551,37267,40207,42981,43448,46672,42825,48074,37690,42404,43960,44534,50726,45049,39326,48317,43511,31560,35038,45992,59356,39199,38406,46718,47934,57368,33032,43241,44259,52402,43274,45963,51325,36725,43864,45002,68162,44111,42347,47869,47477,42678,49952,52736,50484,41946,55355,47987,43489,42100,45714,37788,43421,42730,32355,35626,51652,35457,42711,32565,44119,41880,38295,41920,48531,52444,41304,31117,30069,29911,38009,37371,40988,,,,,
155.9811_0.56,209110,186923,226420,230473,248811,207564,228622,253185,248081,222605,233011,227046,254894,245944,261793,239877,244810,238502,257150,247430,272509,224080,210791,241890,258930,278380,248757,249883,278910,239674,252345,220585,263435,254228,267035,244192,285790,260189,235605,233623,249464,275774,283613,276684,284830,225076,256500,249714,200447,214870,267399,201443,224879,246072,293272,243867,261069,268024,267536,237982,270864,234244,237520,235367,235528,328401,228285,220734,220224,238470,237986,226697,195598,,,,,
159.0683_1.19,29574,51994,33798,36920,27953,113087,31231,30673,38209,33740,31160,40873,15034,21628,31972,30073,33546,30623,37806,36582,42048,29021,48855,30791,54146,42414,30674,30260,28601,72746,58371,38381,22650,27882,48569,31472,31625,23390,24355,39076,26393,54120,53546,43480,40347,21230,53830,38147,20564,43684,35045,32683,25603,43970,17178,29160,50383,27821,34807,35255,31586,22614,33961,38350,64981,22809,67388,80688,14391,40973,49669,25327,21468,,,,,
159.9856_0.56,270186,193160,169265,229572,138274,224531,160377,105238,153758,287800,165519,283943,99541,151576,202218,116656,145804,261670,208527,158610,188901,206236,284245,223297,192861,187713,231773,211303,212614,270353,278426,257204,164359,175038,255040,171452,109916,192318,265951,197414,136506,191203,178797,176149,121865,273305,132424,133682,189989,229073,168412,116801,237043,237397,111821,123304,221862,207887,175977,229467,183326,240767,235860,225619,172964,155627,194644,220580,193770,213992,302585,199922,260972,,,,,
161.8492_1.12,2455493,2317739,2012888,1366207,2178562,2319054,1924761,2257250,1811885,2139670,1931662,1674046,2250826,2278986,2200653,2306125,2100485,1548544,1975524,2302150,2222655,1892147,1977730,1910325,2048178,2203456,1917672,2106241,2095813,1725335,2188373,2342127,2308381,1752813,2090636,2368259,2600067,1805279,1736782,1675493,1869813,1921458,2429633,2196275,2460948,2163841,2380963,2456790,1957805,1658691,2117512,2002408,1799512,1938179,1964269,1929689,1831383,1754445,1986866,1951548,2313624,1996649,1580170,1969050,2221951,1952900,1949559,1546773,1858489,1567497,1881680,1891101,1958070,,,,,
161.8495_0.8,2148517,2216184,2670378,1599031,2525531,2163859,2414948,2800342,2514215,2172743,2463523,1767655,2867745,2829935,2246933,3184446,2153309,1492554,2446273,2880639,3331898,2248019,1872961,1721476,2634532,2876247,2253556,2127677,2676565,2047872,2357211,1923454,2815980,2219060,2638724,2954869,3276810,2380407,1867131,2199182,2596024,2321179,2671066,2894991,3332677,1791266,2922653,3311894,2348383,1819312,2425427,2699572,2151651,2108974,2500286,2573942,2230040,2411845,2504349,2082270,2663584,2202973,1830050,2084565,2459028,2399874,2333638,2300092,2018650,2214520,1608675,2464741,1645376,,,,,
165.079_1.02,30698,31664,31091,28175,20539,22455,25222,24952,29101,33682,35011,24575,26961,28245,20950,31854,25581,25549,22350,34075,45369,27213,26219,18141,31118,36404,33023,32129,33485,28188,36902,24017,30950,21121,36581,34306,35001,29908,23788,24858,30640,29590,41587,44050,30795,23807,25797,30487,22291,28925,25186,22462,27244,25721,21663,23747,24900,23630,31176,20934,25401,18642,32148,17855,20137,26192,27038,24968,14535,25154,28153,24482,26160,,,,,
167.9567_0.77,366095,325178,367761,481186,345588,517108,408182,258862,246674,471445,273802,533028,144256,220169,513525,88188,440659,574755,466832,179088,109814,486955,490276,520215,280743,250635,507355,626551,258325,624550,516631,552690,224702,377044,391081,164553,127211,407204,585087,401924,345898,427774,265846,257757,103996,572877,182638,149763,514882,527748,404088,251508,468451,574357,238442,178313,477133,325532,372645,568297,301097,541730,501730,617478,426358,319703,547268,470670,531239,388314,793875,247255,681687,,,,,
168.0284_0.69,439634,716086,565109,352930,425910,605731,653160,905059,467919,458904,510688,775695,505510,452840,437847,532792,554661,426707,603229,437562,1006927,498919,712168,441378,1040545,853438,319500,522111,519406,715245,866572,560029,471436,453600,509507,482821,1213334,758215,429514,781084,534289,940960,910288,698376,1057285,408093,895502,542829,320001,411180,743023,474009,450413,404995,613624,346106,791626,497227,751536,395022,1006122,481204,439670,422014,688140,724198,501644,369734,367995,652681,413389,467985,260855,,,,,
169.856_1.13,35479,39854,57439,24962,57918,42964,49777,73675,54881,45985,56250,43795,74042,77880,62429,82901,56389,23873,55147,93966,86737,48480,33894,47018,65230,66902,46013,53287,70585,40031,62824,50883,74224,44983,59953,74938,120457,52179,41486,39719,63922,53347,97564,70357,97602,40494,75523,109878,58845,33059,60633,57437,45075,51121,57909,68870,46278,51268,52890,50202,69985,54916,22317,50447,69272,65868,48373,39710,45880,41148,35904,60161,33304,,,,,
170.0558_1.03,44603,28888,27832,22423,21710,66673,20957,20707,38212,42244,31371,25973,98199,23008,23064,26335,27708,25684,28380,24485,55467,21664,35103,28357,37975,35474,31058,33367,35727,25663,43277,27547,22179,13594,37773,40024,21428,20889,34874,17951,24586,26541,32869,24273,30181,24029,28993,46922,24850,27979,24783,33297,28968,30015,38563,12552,25067,20580,30492,28911,25999,23047,26087,41534,25097,28616,39947,24956,49929,14518,74594,30110,32239,,,,,
174.016_0.83,421188,365777,336036,675945,334398,476843,404935,198383,306164,519257,331277,553871,154770,223583,384248,75160,383381,828869,467196,171679,90126,484174,571549,462964,263493,226055,519367,515617,276729,602788,518627,473174,252377,368154,386667,189061,94098,356105,580235,377451,329443,369849,195587,249364,82910,463980,128584,152696,432088,598287,332287,229592,479780,525415,280453,219886,477541,316785,350349,577530,253022,452480,672626,494014,313250,302983,521372,480333,510939,415097,751282,318627,694415,,,,,
175.9635_0.56,277677,226277,149200,322506,90029,321506,143682,36363,77591,294141,95572,322832,70273,63012,318978,16892,92497,693478,307194,35545,131959,333237,775923,443803,100356,120999,710503,268095,123367,434952,472441,653582,97248,254163,297474,111689,10976,93120,492040,164052,93919,101741,34283,66634,32867,642559,39528,33395,292232,408652,56229,39343,267776,256526,55491,42190,226582,375550,134680,474771,133971,281938,353728,333914,143469,71755,225374,325272,357563,327242,716304,137727,771667,,,,,
1791.6933_0.61,108070,106628,112928,102702,156344,98116,127633,154590,144435,113761,128061,110832,140404,151370,126292,138857,151315,80527,112535,145270,107761,110372,70431,97630,115764,128368,105515,144852,134775,98992,113757,102766,149524,122992,101423,133630,147989,125475,106950,115485,139144,116069,121242,131289,131082,93497,164213,146505,143955,93352,138003,140520,124360,132900,147369,142453,62444,103904,99327,124574,139418,129121,93713,129516,144255,149948,133051,120163,136365,112185,111778,132907,89560,,,,,
181.9804_0.61,253227,235986,252104,249952,290319,224727,265173,283061,276949,240094,250868,261474,277574,273523,281957,266691,282429,229710,274470,273122,245000,258453,232487,234432,252114,268913,239193,284294,250619,248070,258928,246410,271715,255067,232655,250857,275799,256106,246373,258905,261566,250889,268146,266283,260607,227055,284506,279749,275495,244223,258415,262067,268605,275424,290255,267001,240043,238505,291163,273979,279494,265608,227881,272266,274983,274067,268650,239671,264806,247370,268111,262651,233264,,,,,
188.0142_1.65,1029165,741479,1492448,1349914,217761,319237,411690,861418,226847,881418,303931,903163,900854,1285620,146443,615397,935663,1252024,394562,648785,2739251,1358507,593639,1467189,988685,1486034,299152,946610,1411136,642797,894239,3149991,1309644,1186593,627893,2048525,163414,2397257,633320,1895970,946281,1420150,358796,754427,910577,1629581,757766,766637,767721,1015266,2353604,875917,119959,146760,576931,757747,439442,1517065,1081873,1024335,945693,253230,2146198,268053,988853,490649,1264422,284181,1298994,1370867,767460,1239230,656057,,,,,
188.0508_0.69,29271,40036,28765,36924,71371,34891,26380,206484,49722,19846,41811,34628,76129,102869,52829,167476,47754,6791,35308,62400,217517,19240,59689,65503,65839,135896,53712,22127,88399,21775,11375,48166,99997,43833,44224,145961,250718,56726,12415,81549,23005,66166,86147,111053,288318,25702,267258,154887,18033,15196,72113,60147,47507,18916,7157,39334,42641,32545,69182,14587,146709,35170,6785,43805,22275,61383,24915,31344,5500,22831,6104,74053,17174,,,,,
188.0681_1.03,55499,32190,64637,30639,28783,35490,32439,23721,75645,45423,55383,43447,229375,23436,28864,35668,34150,23175,33281,36933,115688,26244,69545,48515,49148,56764,34599,46451,70634,38548,68776,44662,29164,20768,48879,80504,29173,34463,50050,32610,29431,43594,43450,30006,63645,33684,56820,96386,37447,34368,42770,55685,28106,39820,88837,18162,34834,22551,65526,44731,37198,24908,37285,99832,35732,66579,83188,29287,123737,19778,164730,51050,35569,,,,,
189.9967_1.24,14660,41429,7489,18145,33741,33853,32168,20478,11918,21435,8060,35111,42090,4684,17797,20957,11734,20903,26413,4845,1937,14596,34931,31234,3983,14065,13524,15758,7019,394594,109130,8472,15377,26221,15373,16751,7946,21447,13379,18379,9796,12563,58863,20192,22585,27864,12302,58927,14098,59134,19500,18543,1261,21492,4971,15284,9762,7063,8203,24393,2550,3549,17637,52753,25502,997,77875,20804,29681,438,30850,7276,7293,,,,,
192.0276_0.82,14371712,12673543,11173058,21688559,10442134,16208755,13492258,6165548,10294493,17537353,11741962,18899439,4655700,7402378,12446426,2291183,12129713,25762953,15803134,5974877,2828313,15711245,18778244,14859361,8941519,6930745,17271978,16724262,9359485,19009166,16800988,15655399,8177312,11766489,13383077,6470242,2882212,12355635,18622502,12961055,10977413,12917694,6886001,8490970,2723637,15595734,4088978,4972196,14028409,19561469,11684547,7667577,16222730,17148391,8773262,7368254,16733439,10730215,11475068,18100689,7823869,14684520,21635086,15684052,10345974,10299792,16770081,15578964,16522541,14053786,24151744,10739693,22144109,,,,,
196.1096_7.09,458345,482812,244504,255636,220458,717990,595054,340279,371151,776350,588499,660937,221768,244658,137766,171820,192287,553739,371384,464658,261380,208631,545344,94060,741062,575629,187114,299936,325343,255456,361392,298407,394297,498740,717935,170792,391841,373732,735272,146783,257104,211843,809757,75104,557200,206170,627506,229141,84343,307725,397306,118129,325944,212804,201995,82428,328742,266999,123895,118668,357978,156413,161202,225829,469207,160115,328286,208620,382351,415648,127791,330868,525293,,,,,
196.8181_0.8,1929864,1988287,2635976,1659304,2433605,2030558,2356383,2525401,2320793,2049843,2172852,1694064,2583213,2380679,2074229,2742702,2095270,1476300,2232236,2533856,2940769,2163926,1922769,1673723,2525249,2721355,2241273,1929036,2474684,1938747,2199153,1764104,2487724,2180733,2487689,2454358,2861317,2161528,1793427,2021788,2368724,2226257,2541271,2691518,2911288,1702696,2670532,2892879,2105999,1763266,2177282,2317903,2111407,2022932,2385802,2387153,2137466,2322332,2477362,1991523,2529208,2037377,1817220,1960972,2254177,2372790,2240512,2176707,1930038,2125583,1607325,2303061,1614130,,,,,
196.8182_1.13,1182441,1185542,1307665,752516,1405694,1187174,1277921,1410789,1139041,1097991,1206107,1115998,1447068,1341563,1433308,1419043,1325237,774745,1367228,1430141,1352110,1229516,1224324,1368910,1291730,1432696,1243156,1367267,1299532,1129918,1466822,1399403,1376716,1131330,1275301,1381387,1631060,1166247,1145025,1089565,1174758,1288275,1575501,1338775,1502623,1172161,1565090,1502702,1232360,998487,1389135,1250834,1224014,1295591,1256479,1182969,1242770,1175686,1304888,1219246,1514793,1257971,769205,1353734,1387585,1354566,1322649,974591,1255691,1038069,1039283,1231731,1124329,,,,,
196.8184_37.62,722082,661337,758407,745953,623119,813518,762693,641850,644331,794465,688083,778162,678472,697320,670070,691328,649969,736026,707813,632374,680299,699790,846061,664986,672805,684653,794752,747426,649817,771000,902503,734115,671729,654126,786608,588250,714856,762774,811105,688764,684969,666317,720673,697239,611756,682361,628552,716717,687250,809465,678052,583362,717465,734043,618461,553732,734015,687454,649167,659756,655601,722233,735864,781393,704106,590333,780411,709850,653269,636507,877364,617628,830437,,,,,
1968.0041_0.79,45492,36905,33317,31563,53660,58757,41403,65766,42022,35612,41138,44012,51744,58519,41920,49371,58036,30818,43616,44164,51627,47406,61031,37665,52133,106659,68918,44220,47395,31681,44806,65477,48659,39885,46815,57010,73684,57656,31418,36216,89817,48573,57307,48518,54816,34579,68161,52842,48027,24618,43329,59743,42591,46555,66757,54887,117170,57538,38199,34592,99833,37817,37593,68806,49627,39781,73076,57464,50506,53160,38756,36138,27284,,,,,
1995.6564_0.6,195364,193294,205148,184656,258734,183211,231619,279057,268184,213247,225150,206778,245202,262550,237702,252914,264316,134079,208589,263801,201705,197568,125751,181932,226547,231417,178770,246542,246192,179342,193978,176347,270749,224966,191660,234616,252619,215784,189045,212247,254290,212948,222666,239363,242739,165494,281553,271500,250422,172579,238540,258374,230710,230525,262212,267798,114597,183978,183832,219567,244196,241914,180501,219094,275639,258427,237343,200863,234507,199919,193731,241152,160616,,,,,
204.0895_1.02,85116,100060,92737,113411,94244,110046,109782,83988,108180,120750,115833,111131,80755,81664,91246,89309,104429,85599,83022,125518,121893,73986,102859,65576,111620,109818,129430,92628,96017,101188,120228,84029,93263,79248,142674,105349,111452,95906,94497,111034,99712,113065,123136,138021,95364,84296,93672,94338,64241,96151,96360,58761,103562,90638,59336,91500,99069,63262,93569,84297,64896,79721,92743,84034,94630,92444,102953,66050,67475,105044,114617,94216,104779,,,,,
212.1044_1.09,51218,53580,25198,35207,38644,57982,74001,63084,113193,111178,166039,70879,62124,62347,22806,71043,60007,117511,80066,139264,96050,51570,81456,41023,73841,124106,70256,67303,64111,70100,55295,72396,77780,120787,116809,39017,88592,57659,138294,26131,66791,66059,257489,31590,108412,59787,92513,48351,23961,68059,55757,68650,49741,39476,43759,49178,40161,36508,14919,42506,28758,50986,14447,74251,129953,18957,175942,82404,33421,88169,39528,46381,102997,,,,,
214.0274_4,27094,16865,20925,97571,30079,137104,94772,45387,4525,22184,51492,6415,21502,1253,50460,12054,18295,9575,3793,43022,3530,2674,169479,251,42866,6185,2791,1961,16258,22113,115342,12213,3296,17326,6239,6282,23545,85723,178980,66885,28479,1409762,7542,12175,5155,200085,143919,2855,43506,54951,23667,7468,104329,15997,340422,31614,31544,88334,17530,1520,7880,59768,78867,17519,2034,4083,10032,75046,324,18042,22325,62988,4689,,,,,
224.1411_11.86,39237,66631,29536,42071,38737,27422,127082,69529,36593,52004,47856,117697,30661,40507,39552,29002,47147,79978,22957,50737,47458,50950,61736,27962,71375,32022,37532,51563,34571,34915,51269,79908,18459,21492,63398,42300,40479,58996,60211,44384,45096,21604,77246,34178,39372,51660,51546,49243,30825,57965,39723,22260,38811,55931,20553,20942,47507,28470,27478,27405,65910,34272,43280,34592,63738,24354,60813,51875,36029,33307,34829,31789,83478,,,,,
225.9868_0.69,80405,115081,107391,64869,81206,105211,118926,153678,81360,80412,96045,130225,79353,79851,91665,81303,105818,87919,125102,77270,149120,104871,128951,97028,172471,140153,73751,113569,90188,126703,157326,114002,85396,83255,90353,89964,174540,137183,95241,132842,100500,147992,144948,109587,148419,93851,142501,87264,75086,88965,127663,95763,89381,89182,99500,60912,141299,97251,138931,90261,169027,97916,72246,92324,132947,122861,100327,70023,80069,113181,92690,74962,66899,,,,,
227.973_0.57,137349,98065,91361,116474,81764,113730,87475,61883,80623,142231,92460,154022,58969,77228,104644,62155,80846,139991,116463,82295,102000,104292,140825,117529,103854,107544,109546,121434,107036,146534,144833,129810,85318,95841,124242,89716,65093,103082,136625,108116,73281,100044,98863,92807,67743,130777,80267,69885,101379,137663,94621,65686,126945,129630,62547,66182,120444,107154,99985,120305,100399,127918,126377,131840,94044,85265,108666,107061,108926,114851,157635,103505,153728,,,,,
231.02_1.26,373472,523521,307041,303168,177019,127102,617954,220827,107000,148922,209981,172551,108422,87141,69845,73184,147706,180442,430465,153015,275284,221773,190781,284117,227966,229855,181513,188606,286575,161861,146350,510949,153565,55435,356278,151548,99547,190159,148080,394410,331010,418966,92151,114974,195189,142015,173049,180256,121471,348195,165144,120163,148505,252547,61636,234722,116817,117525,277983,291267,141784,101328,473511,84658,161760,310900,199389,616673,270469,133056,137974,263654,91299,,,,,
232.0586_1.03,49700,38509,65492,35350,30068,42818,38899,26884,79448,55507,60866,45327,233717,31429,31482,36212,32122,27545,38502,38349,116753,30202,76709,50126,45412,63938,30822,44595,72345,45082,72239,51410,32325,23234,59871,79521,28397,38470,53892,32549,26353,45928,41477,32093,59416,39923,52709,97004,35158,42298,46582,59416,29852,43718,88314,21019,41003,22534,61239,42273,44134,27512,47197,96195,38611,63984,80566,35748,118983,23408,160815,49863,41214,,,,,
235.99_0.78,2254472,2428407,1894923,3045844,1545333,3142975,2323279,1168236,1415546,2832724,2145239,2168634,647484,1241199,2059506,397954,2084937,3055679,1869027,1143749,526367,2389703,3064036,3159313,1521597,1296728,2815262,2757073,1522609,2968994,2951245,3652084,1278082,2169539,2123626,1208218,442612,1963691,3513586,2306019,1926508,2463846,1203884,1538275,494680,2847060,696871,861509,2871524,3185954,2294931,1605750,2902150,2786833,1099840,1109031,2744429,1808682,2140499,2822077,1197211,2624022,2491884,2750209,1998073,1451990,2755219,2572865,2990172,2198862,3581978,1662074,3534148,,,,,
240.0995_7.08,658358,731160,332398,366854,310760,1033334,774630,426998,516559,1105257,901406,930460,312804,333550,180431,237031,275341,793651,511581,686180,353843,296866,729780,140252,1059442,794157,261061,384477,436884,328449,546055,412198,565799,666330,1001476,258463,556914,542506,1038796,209041,344848,288904,1116114,111398,757857,271353,804323,350132,120608,425077,539560,176354,453265,281266,281637,120130,449994,381872,165928,172235,501213,205191,223472,304943,624917,227120,473395,290496,541151,604801,167717,464141,744926,,,,,
243.183_6.21,56111,91497,41020,34067,37902,56911,54696,25130,39702,99143,58387,31013,67476,95145,51327,97863,44659,59065,28858,73960,52478,41718,63549,84075,34632,62095,87549,120047,31573,63461,82731,58243,48785,48089,51541,53854,155776,68236,109990,42938,45451,50562,60278,29510,46807,70024,68713,83287,49522,92640,60865,79009,72098,102188,53069,47100,97932,61102,45367,66028,42638,48161,85453,69115,63461,87453,48570,50098,41170,43198,170357,63929,46885,,,,,
248.0539_0.96,88728,68137,44198,60651,58868,74865,67156,39183,53396,101785,48086,70232,49319,62821,55125,40447,50172,71801,61168,47737,53002,63276,61880,57019,56782,42583,72642,71574,54711,55509,111415,53950,42033,28702,75701,44757,51260,58962,73717,56811,72190,69743,70663,56502,36606,54701,35669,41307,63265,70977,67281,45354,71394,68368,20188,35392,71905,54055,42596,69813,41717,40709,68086,51636,49978,40121,56536,53314,66345,47752,75093,48257,85247,,,,,
249.9678_30.99,1592099,1039799,1997773,1419801,1074479,1185141,1704075,1178153,816995,1068620,1164812,1326811,2086350,1029077,1621811,2101688,1848524,1138816,1222276,967411,1141815,1299073,1840941,869636,1999439,1265375,1777382,1321212,1097236,1972720,1917880,1183323,1210959,983548,969098,1064313,2268846,1626919,1694103,1449496,1357507,1546023,1717130,1006437,1321641,1267216,836326,1642220,806779,2519906,1496821,1453544,1919929,1708285,1403361,877510,2611811,3114001,942519,794077,1205465,1383458,1317288,1717169,971327,1095740,2092413,1190773,1065266,1464464,1303897,985282,1517117,,,,,
249.9846_0.79,211425,204598,214225,291472,183599,261832,249351,113746,170386,241047,210558,297742,93784,129491,190933,54826,210268,276770,267294,117365,72152,247691,292144,227046,177750,136713,315250,253970,155622,274640,290629,243093,140959,220173,217851,134141,68307,232632,298635,233968,182059,228153,151007,153335,60612,232289,82531,104033,220956,295378,218526,154037,273327,259819,142911,123949,272402,211002,207511,276524,149696,232836,219157,236939,186865,187383,270921,236035,237406,258200,305420,169314,324612,,,,,
