 MASS_RT,2,5,8,12,15,19,21,23,25,27,28,30,32,33,34,35,36,39,40,42,43,44,46,47,48,49,50,53,54,56,57,60,62,64,65,67,68,70,71,C12A,C15B,C19B,C21B,C23A,C25B,C27A,C28A,C2A,C30B,C32B,C33A,C34B,C35B,C36A,C39A,C40B,C42A,C43A,C44B,C46B,C47A,C48A,C49A,C50B,C53A,C54A,C56B,C57A,C5A,C60A,C62B,C64B,C65A,C67B,C68A,C70A,C71B,C8A
211.0817_29.85,195295.48,164069.59,174226,149875.55,150208.69,142697.74,187257.57,127388.43,154937.06,113146.06,178621.22,150127.54,208962.73,133084.68,172364.01,172290.34,212731.89,176969.82,116505.58,152554.39,157839.43,91033.38,169799.53,185327.42,227272.68,180606.14,177281.82,186981.5,90621.11,30060.93,231192.27,132981.73,120577.78,142701.84,184868.73,180664.23,207942.3,154556.9,172984.47,125719.06,135421.09,122446.36,129125.1,133387.65,192036.62,146674.83,152518.64,148847.26,105698.05,210311.44,192461.52,157731.18,105564.66,203122.92,126447.48,54449.46,118982.21,156244.74,146660.23,106120.46,112409.59,175432.76,217448.02,142727.84,169071.78,119537.84,180922.17,173952.97,175264.14,72379.2,105824.81,16388.1,164042.38,18009.83,160497.45,105137.32,181585.96,135714.42
109.0732_29.05,6126408.18,7070445,7683997.74,7894890,7377674.68,8251028,6365161.28,7433448.76,6999309.92,8553688,6929789,7924059,7005610.89,6850850.16,6841950.74,7808277,6978676.6,6939530,7172018,7592034.24,7155324.11,8523787,6579949.74,7686617.79,6843480.1,7564610,6499117.2,7367291.07,7648121,8977459,6696664,7759257,5871935.42,8299283.41,7395845.55,7402347.65,7100277.59,6251115.41,7513462,7400576.86,7360060.71,8028497,9148498,6562462,7849042.6,7322016,7669500,8246684,7583024.21,8534493,6954400.5,6835293.87,7331542,7772734.69,7566405.73,8366690.19,6907127.03,7881219.36,6263187,8780286,7289071.5,7691719.87,7128386.57,7461290.12,7513119,8140929.99,6789093.48,6448504.64,7379871.24,8088056,8182164.67,8383171.98,8298819.65,8645961.68,7554528.91,7408242,7377250,7590113.72
746.1694_29.3,305555.73,334295.15,208835.17,252433.12,297771.12,197955.55,284310.19,281160,308474.9,196036.51,261350.74,231778.16,238967.76,207388.32,216900.68,231877.4,197816.54,261824.41,274581.2,260163.5,242760.03,180012.04,277600.86,229514.7,269031.28,224992.56,309542.64,250550.69,198446.13,249783.13,273910.11,288756.9,299858.01,237558.9,226145.4,235701.79,185888.54,266649.87,221632.76,264166.91,313820.86,238933.93,210309.89,285097.15,274225.23,229555.29,248773.55,198277.91,216309.4,203678.81,216090.35,188066.75,207228.35,174634.06,256594.97,233311.28,254838.89,263771.35,230948.85,217014.03,255621.2,226028.4,171608.05,239580.95,316368.1,192488.67,164560.12,309666.73,234075.97,289788.75,200347.91,198612.57,204565.82,180200.45,243686.73,216040.83,250119.67,164674.16
90.0322_29.81,3510689.92,3052680.79,2600042.66,2254518.9,2502520.39,2635506.57,3068346.92,2053887.61,1947936.97,1751690.88,2583322.81,2323729.81,3854474.86,2545085.64,2623055.7,2769293.4,3935547.54,3012370.4,1630600.3,1701339.83,2410497.57,1321021.26,2999163.51,3632632.79,3659481.64,3260862.62,2621182.67,3285966.56,1546376.36,1051534.14,4177141.13,2125481.07,1647672.99,2524314.16,3366042.1,2454891.53,3358290.87,2419353.67,2156459.34,1951118.8,2157248.2,1829941.15,1936632.83,2179734.17,3753965.65,2244568.57,2615910.95,2562175.07,1734928.82,4097466.63,3607717.99,2279394.84,1625076.3,2909507.04,1809616.96,1330742.5,1900882.53,2993315.34,2301367.71,1712835.93,1679794.77,3069948.39,3506586.51,2291026.7,2584281.47,1835773.77,2183548,2572583.05,3161477.7,1021375.45,1723674.02,1021439.51,2769073,923897.12,2252755.85,1544393.02,2979964.98,1908159.25
373.0844_29.28,235739.25,264219.09,165010.02,197450.59,231072.07,156851.87,220317.59,217081.66,242988.19,151603.05,205148.07,180951.06,187532.27,161291.11,172244.12,181405.18,155423.76,203040.74,213109.07,202136.26,192915.77,139724.05,213207.23,178706.19,209705.96,174947.31,239550.32,195916.23,152680.05,194622.07,216712.82,226218.75,234688.81,184888.6,176328.67,183495.69,141265.04,207570.18,178082.43,203799.08,245135.39,186365.05,162653.06,228042.79,214395.4,181060.06,198122.05,157268.72,171592.07,160792.04,166655.86,144810.86,164587.2,139668,200082.07,180446.18,197718.99,207926.93,182668,166362.06,202308.9,172907.97,134819.98,184442.78,246846.08,151951.84,127066.6,243425.75,180489.64,227761.34,155363.02,157139.38,159818.81,137199.09,184319.48,169103.06,195952.07,126965.9
248.176_29.3,1874846.92,1263971.5,873644.73,1167110.1,1021749.53,1344133.19,1452136.66,1292804.99,930230.01,1008242.78,1012978.92,742029.98,438454.29,1131477.79,1050244.78,889887.95,1528755.35,1104446.32,894266.74,706883.64,1099934.53,709916.6,1230389.65,818552.43,1325826,809517.32,1219505.69,1272454.02,790812.11,742797.13,866618.31,970283.32,1217877,1370162.26,605953.16,581415.99,719548.85,1408680.96,955491.97,1749365.7,896824.21,732948.8,1313879,1162475.84,1294328.92,896155.82,840179.05,1211849.86,1884846.33,1439816.08,889905.7,1434641.48,1310566.73,690118.46,2002023.66,1678876.02,1587926.08,640929.6,1051192.98,1062883.59,944334.25,1486764.36,1477964.37,940341.17,940157.69,1081544.88,1305439.69,868471.63,1581990.86,1017059.71,332879.87,1123286.42,1265890.67,1879691.22,1407368.54,846893.2,802727.34,1504317.71
310.0602_29.78,417625.92,375496.3,393129.52,384357.51,376837.3,381127.29,351718.63,351863.58,361649.53,306224.39,367335.24,357588.43,431038.62,393135.17,385012.08,394316.25,429235.05,379892.98,325799.48,350796.02,392559.23,296502.85,393286.43,388087.82,447650.36,393957.23,375143.84,401486.89,293168.54,264871.21,408572.17,357776.15,290748.37,351204.93,414535.38,406206.54,393454.75,357609.68,402321.41,342242.84,378562.96,330320.14,349110.41,331800.45,386475.26,367960.81,373119.39,345288.5,332329.13,430409.32,421451.87,322771.01,309098.85,434333.37,338119.29,311171.18,332317.86,393026.67,364456.59,317280.35,331576.05,385593.59,410696.61,355000.34,410866.89,330382.36,358530.89,408843.12,393769.21,292793.7,308596.65,266457.71,367995.17,281867.98,366648.33,314313.92,399951.05,313698.52
75.0694_10.27,585961.17,847128.3,297450.7,272783.49,467633.37,235943.54,307604.15,2090862.71,343023.78,2040908.37,366010.66,2117799.43,288295.72,3360750.13,255030.09,340014.91,287424.13,421426.98,4319437.32,2073878.86,517158.63,1734281.46,1978299.1,419944.09,302591.62,423911.37,345252.21,356016,1659805.29,3159794.87,3825776.52,261487.28,238921.67,1487438.66,1319564.43,452834.89,1425067.16,500366.55,210039.19,523041.18,409852.04,731919.63,813662.99,795481.68,822592.3,93078.94,1049409.47,216655.49,280243.71,409580.64,205176.41,95913.43,458331.73,1605612.63,478456.67,1374825.18,505561.22,1602891.44,483675.46,389877.55,1410115.27,569104.04,753853.12,806372.52,590822.75,1630983.91,435582.69,1738950.97,413816.32,349744.52,740198.13,1155904.54,552085.06,189229.31,802944.73,210254.14,1114058.91,198032.62
308.0435_29.84,54594.93,45348.99,97345.49,55523.67,47703.52,37827.31,77885.8,27809.69,51739.75,24670.77,75782.37,53634.34,153142.02,23965.3,73020.32,57704.86,110806.14,75684.01,26530.61,61187.46,80669.53,13131.24,58474.75,83420.54,188995.59,60696.69,88217.18,101426.05,7458.89,34730.29,127801.51,31537.98,20609.11,44526.59,120030.86,110637.27,111876.31,44300.67,63532.58,30950.95,60168.61,17199.03,33520.45,24665.49,78372.09,50653.39,37914.49,39793.22,15287.1,94627.8,106707.53,68000.51,11640.96,112554.2,33561.6,7308.94,31377.29,83259.33,26742.74,19380.75,21389.56,70259.22,125426.33,52759.22,57279.99,33236.45,103808.22,88922.19,78371.45,3192.01,15481.93,35252.01,62458.23,60235.36,69833.64,17093.78,77206.13,38347.05
1459.6717_8.72,38196.65,47188.96,51519.69,34046.84,39348.75,44554.44,36555.47,41366.9,35521.34,40531.98,39032.43,34480.06,42348.81,40581.99,28167.51,39989.36,40492.61,55092.17,33679,53208.9,30567.04,32813.61,37260.77,48786.87,31546.26,38635.06,32826.21,56563.86,48788,40170.75,40976.28,40889.1,39839.1,45318.35,37313.83,38583.51,36195.54,33668.47,37919.25,44085.17,45619.6,41756.07,41744.38,43377.73,58702.18,35175.06,35993.63,43576.59,45442.72,34564.99,54132.88,28920.98,47966.61,56525.61,47170.1,42080.52,38138.51,42997.93,34387.46,31421.76,45914.6,33141.27,49236.05,52782.85,35211.12,42128.04,38756.18,43162.01,51197.31,50415.07,47401.68,35265.13,39394.58,43952.01,43050.29,34335.2,47814.18,94978.13
