 MASS_RT,2,5,8,12,15,19,21,23,25,27,28,30,32,33,34,35,36,39,40,42,43,44,46,47,48,49,50,53,54,56,57,60,62,64,65,67,68,70,71, C12A, C15B, C19B, C21B, C23A, C25B, C27A, C28A, C2A, C30B, C32B, C33A, C34B, C35B, C36A, C39A, C40B, C42A, C43A, C44B, C46B, C47A, C48A, C49A, C50B, C53A, C54A, C56B, C57A, C5A, C60A, C62B, C64B, C65A, C67B, C68A, C70A, C71B, C8A
618.2484,11741.0,13824.0,17436.0,10527.0,15541.0,9644.0,15043.0,12839.0,12368.0,10814.0,15468.0,12236.0,21120.0,10436.0,12837.0,8683.0,11551.0,10058.0,17029.0,10780.0,23313.0,17235.0,22068.0,14102.0,11740.0,16534.0,13323.0,19182.0,8595.0,16928.0,10801.0,13681.0,15038.0,10516.0,8367.0,13290.0,19610.0,15119.0,17717.0,16824.0,14942.0,21040.0,10164.0,7784.0,12354.0,27774.0,10737.0,14591.0,8805.0,11702.0,9391.0,8933.0,16708.0,20721.0,9842.0,12980.0,18814.0,8239.0,9103.0,13114.0,10514.0,8481.0,8890.0,13374.0,15028.0,8830.0,10488.0,15273.0,11564.0,21137.0,14018.0,21539.0,29498.0,13665.0,9159.0,29470.0,10670.0,15759.0
618.2498,48556.0,48622.0,52921.0,36787.0,60484.0,38619.0,53601.0,48955.0,46029.0,45088.0,53380.0,42307.0,77254.0,39437.0,49061.0,36126.0,42940.0,34878.0,55960.0,18774.0,96161.0,55873.0,72638.0,54448.0,48715.0,56109.0,49236.0,63314.0,39083.0,57328.0,42482.0,51060.0,54310.0,12781.0,33610.0,42959.0,66740.0,55838.0,57167.0,64784.0,55480.0,71572.0,44185.0,31576.0,48708.0,86137.0,40561.0,55665.0,11683.0,43574.0,35884.0,40775.0,58738.0,70880.0,39957.0,50093.0,62809.0,33776.0,44592.0,49739.0,41881.0,33105.0,17617.0,49147.0,52964.0,14603.0,38982.0,52568.0,43282.0,63479.0,57237.0,67918.0,81867.0,45457.0,35640.0,83128.0,40837.0,55477.0
620.2656,48732.0,48595.0,62285.0,52063.0,65905.0,39896.0,91661.0,34200.0,49915.0,36829.0,66995.0,54451.0,65829.0,33431.0,57188.0,58606.0,55655.0,41636.0,45402.0,23740.0,57908.0,71524.0,56771.0,40537.0,87346.0,48533.0,53385.0,49539.0,38233.0,47200.0,68947.0,64630.0,52613.0,6904.0,49752.0,60735.0,55769.0,70186.0,51402.0,61016.0,64310.0,81925.0,63260.0,27514.0,45766.0,84753.0,31692.0,53561.0,9781.0,58124.0,33119.0,33163.0,69943.0,54380.0,49353.0,71198.0,43716.0,26159.0,40133.0,73332.0,61958.0,54914.0,18610.0,45861.0,31882.0,9067.0,45307.0,38027.0,66163.0,50557.0,64409.0,67119.0,64907.0,49188.0,47605.0,77357.0,68165.0,57367.0
622.2811,51194.0,74123.0,105167.0,73002.0,83574.0,67965.0,88285.0,67432.0,86646.0,63859.0,72750.0,90147.0,112770.0,57445.0,96051.0,67331.0,74401.0,51193.0,53797.0,20272.0,79987.0,80432.0,73588.0,52398.0,66508.0,71185.0,58781.0,88042.0,47137.0,73823.0,84006.0,80331.0,83155.0,18175.0,76518.0,77944.0,74221.0,83396.0,79691.0,92472.0,64946.0,95126.0,75394.0,43970.0,64605.0,102938.0,77955.0,76234.0,14219.0,65705.0,57425.0,44426.0,90690.0,89588.0,48666.0,52533.0,71294.0,31942.0,57750.0,61304.0,63976.0,60567.0,31775.0,47540.0,60373.0,19148.0,63237.0,59062.0,72352.0,69823.0,90599.0,84494.0,83181.0,84731.0,49340.0,112757.0,84337.0,73938.0
622.432,10066.0,7635.0,6493.0,3097.0,7684.0,2527.0,10690.0,4186.0,3470.0,1917.0,8161.0,3649.0,5405.0,3095.0,3815.0,4885.0,2584.0,4844.0,6851.0,2714.0,4317.0,11125.0,13232.0,3532.0,5956.0,6021.0,3013.0,15027.0,3192.0,5598.0,2332.0,4368.0,7171.0,3532.0,2760.0,6064.0,11756.0,8846.0,13530.0,1476.0,3460.0,16998.0,3179.0,990.0,2976.0,15839.0,1832.0,1504.0,389.0,2488.0,2880.0,2307.0,7932.0,6475.0,2295.0,1559.0,8451.0,725.0,2892.0,261.0,224.0,2803.0,429.0,4684.0,4054.0,353.0,2686.0,5632.0,2274.0,16781.0,1006.0,13893.0,44612.0,3552.0,266.0,32381.0,3645.0,5252.0
623.8406,22502.0,30815.0,32560.0,38755.0,31342.0,41535.0,28915.0,39852.0,31637.0,34968.0,29271.0,32079.0,29127.0,42733.0,34564.0,32533.0,46297.0,29183.0,29745.0,1911.0,28433.0,38943.0,33777.0,36578.0,24363.0,30658.0,33720.0,42128.0,29475.0,30871.0,32614.0,31866.0,28033.0,1503.0,35962.0,35943.0,37214.0,26786.0,38733.0,36573.0,30647.0,29622.0,34629.0,35643.0,36194.0,34026.0,33899.0,43515.0,27486.0,43663.0,31811.0,28708.0,31967.0,39970.0,41003.0,32184.0,29704.0,40974.0,42500.0,26492.0,30544.0,36979.0,3252.0,29972.0,34079.0,22969.0,28769.0,29799.0,34012.0,29595.0,41816.0,38832.0,30993.0,38515.0,30790.0,26741.0,29527.0,29568.0
632.2227,11693.0,11199.0,14472.0,13536.0,14209.0,10038.0,13605.0,13330.0,10100.0,9992.0,17072.0,13378.0,12878.0,10985.0,12282.0,13354.0,12927.0,9041.0,9387.0,5865.0,16805.0,14214.0,9420.0,8850.0,14155.0,10534.0,15250.0,11666.0,10475.0,10056.0,16692.0,14966.0,13867.0,3997.0,9466.0,16620.0,8774.0,15403.0,11948.0,13910.0,13609.0,11100.0,10721.0,11642.0,11860.0,10055.0,13915.0,8243.0,2172.0,8886.0,9494.0,10340.0,9631.0,9956.0,8008.0,9779.0,13132.0,6296.0,11964.0,14547.0,10576.0,14738.0,6222.0,11868.0,9474.0,2361.0,12720.0,9282.0,14268.0,14316.0,12974.0,11519.0,9519.0,14266.0,12461.0,12907.0,20972.0,9213.0
633.4449,189386.0,87257.0,89026.0,88704.0,87613.0,88919.0,52072.0,85035.0,89749.0,105823.0,90981.0,91582.0,94746.0,88616.0,88610.0,75931.0,91401.0,161180.0,182198.0,102001.0,141452.0,91681.0,86386.0,91825.0,89976.0,466508.0,215160.0,86977.0,420093.0,611485.0,487592.0,199368.0,84304.0,189590.0,394983.0,75326.0,91234.0,90330.0,110558.0,97503.0,85481.0,88164.0,76193.0,155327.0,87125.0,161864.0,94439.0,146018.0,77045.0,83007.0,95835.0,147254.0,90183.0,89518.0,88759.0,178361.0,166967.0,94840.0,92429.0,76419.0,223265.0,90458.0,84981.0,440347.0,91125.0,250857.0,85291.0,180874.0,97329.0,161203.0,95792.0,105814.0,428206.0,84475.0,41228.0,86920.0,88682.0,87747.0
633.8674,67726.0,78661.0,137984.0,143650.0,139211.0,178179.0,142671.0,139033.0,178344.0,165148.0,122172.0,111407.0,144557.0,148212.0,155653.0,55950.0,135740.0,182694.0,171155.0,218341.0,97905.0,113864.0,140045.0,161102.0,97348.0,88058.0,148489.0,132630.0,148287.0,167697.0,137815.0,154008.0,146715.0,267144.0,153934.0,59407.0,144653.0,121213.0,108191.0,142838.0,181632.0,110815.0,147410.0,138865.0,145005.0,141701.0,118607.0,150068.0,225207.0,128282.0,150084.0,165484.0,129337.0,154927.0,93540.0,136668.0,177960.0,194422.0,139167.0,114524.0,162441.0,119284.0,250929.0,161505.0,178876.0,243377.0,147214.0,133899.0,127356.0,152761.0,173149.0,165115.0,139859.0,123230.0,164702.0,130324.0,138675.0,152807.0
639.5798,128127.0,127703.0,145171.0,188488.0,193767.0,182920.0,182217.0,216590.0,162628.0,178116.0,169677.0,121478.0,277949.0,191547.0,187530.0,159105.0,205400.0,155592.0,178456.0,172917.0,186562.0,131798.0,200236.0,170680.0,216981.0,139417.0,214253.0,180504.0,198021.0,164621.0,151632.0,188397.0,176411.0,157197.0,190460.0,122578.0,201459.0,176177.0,131900.0,265334.0,203459.0,181535.0,198708.0,144984.0,168250.0,191576.0,153540.0,191186.0,125663.0,151777.0,181412.0,155740.0,203809.0,157513.0,122005.0,207053.0,183580.0,156306.0,137497.0,186478.0,208522.0,167910.0,152643.0,155727.0,176608.0,151292.0,143039.0,134450.0,164963.0,152106.0,360351.0,157142.0,155121.0,152160.0,225853.0,184498.0,155245.0,177457.0
